evo,enemy,individual,round,f,p,e,t
0,2,0,0,86.26235268152698,46.0,0.0,153
0,2,0,1,86.26235268152698,46.0,0.0,153
0,2,0,2,86.26235268152698,46.0,0.0,153
0,2,0,3,86.26235268152698,46.0,0.0,153
0,2,0,4,86.26235268152698,46.0,0.0,153
0,2,1,0,92.57641531783392,76.0,0.0,151
0,2,1,1,92.57641531783392,76.0,0.0,151
0,2,1,2,92.57641531783392,76.0,0.0,151
0,2,1,3,92.57641531783392,76.0,0.0,151
0,2,1,4,92.57641531783392,76.0,0.0,151
0,2,2,0,92.87698480137234,78.0,0.0,152
0,2,2,1,92.87698480137234,78.0,0.0,152
0,2,2,2,92.87698480137234,78.0,0.0,152
0,2,2,3,92.87698480137234,78.0,0.0,152
0,2,2,4,92.87698480137234,78.0,0.0,152
0,2,3,0,92.54334611374885,76.0,0.0,152
0,2,3,1,92.54334611374885,76.0,0.0,152
0,2,3,2,92.54334611374885,76.0,0.0,152
0,2,3,3,92.54334611374885,76.0,0.0,152
0,2,3,4,92.54334611374885,76.0,0.0,152
0,2,4,0,92.1779629319777,76.0,0.0,163
0,2,4,1,92.1779629319777,76.0,0.0,163
0,2,4,2,92.1779629319777,76.0,0.0,163
0,2,4,3,92.1779629319777,76.0,0.0,163
0,2,4,4,92.1779629319777,76.0,0.0,163
0,2,5,0,92.57641531783392,76.0,0.0,151
0,2,5,1,92.57641531783392,76.0,0.0,151
0,2,5,2,92.57641531783392,76.0,0.0,151
0,2,5,3,92.57641531783392,76.0,0.0,151
0,2,5,4,92.57641531783392,76.0,0.0,151
0,2,6,0,95.58119428213078,96.0,0.0,152
0,2,6,1,95.58119428213078,96.0,0.0,152
0,2,6,2,95.58119428213078,96.0,0.0,152
0,2,6,3,95.58119428213078,96.0,0.0,152
0,2,6,4,95.58119428213078,96.0,0.0,152
0,2,7,0,92.57641531783392,76.0,0.0,151
0,2,7,1,92.57641531783392,76.0,0.0,151
0,2,7,2,92.57641531783392,76.0,0.0,151
0,2,7,3,92.57641531783392,76.0,0.0,151
0,2,7,4,92.57641531783392,76.0,0.0,151
0,2,8,0,92.57641531783392,76.0,0.0,151
0,2,8,1,92.57641531783392,76.0,0.0,151
0,2,8,2,92.57641531783392,76.0,0.0,151
0,2,8,3,92.57641531783392,76.0,0.0,151
0,2,8,4,92.57641531783392,76.0,0.0,151
0,2,9,0,92.87698480137234,78.0,0.0,152
0,2,9,1,92.87698480137234,78.0,0.0,152
0,2,9,2,92.87698480137234,78.0,0.0,152
0,2,9,3,92.87698480137234,78.0,0.0,152
0,2,9,4,92.87698480137234,78.0,0.0,152
0,5,0,0,0.0,0.0,90.0,661
0,5,0,1,0.0,0.0,90.0,675
0,5,0,2,11.791702537472169,90.40000000000009,80.0,1000
0,5,0,3,0.0,0.0,90.0,662
0,5,0,4,11.791702537472169,90.40000000000009,80.0,1000
0,5,1,0,82.14323509888267,73.00000000000026,0.0,425
0,5,1,1,82.53064169532479,75.40000000000023,0.0,425
0,5,1,2,82.338290103221,74.20000000000024,0.0,425
0,5,1,3,82.53064169532479,75.40000000000023,0.0,425
0,5,1,4,82.338290103221,74.20000000000024,0.0,425
0,5,2,0,91.25151399206413,83.20000000000016,0.0,224
0,5,2,1,90.6862374051419,79.6000000000002,0.0,224
0,5,2,2,90.78198551491656,80.20000000000019,0.0,224
0,5,2,3,91.15880861574931,82.60000000000016,0.0,224
0,5,2,4,90.2968101665799,77.20000000000022,0.0,224
0,5,3,0,90.8378865592507,85.60000000000014,0.0,246
0,5,3,1,87.23780165137622,84.40000000000015,0.0,339
0,5,3,2,86.71056558672703,81.40000000000018,0.0,341
0,5,3,3,91.37211122497533,86.80000000000013,0.0,236
0,5,3,4,87.16260086057231,81.40000000000018,0.0,329
0,5,4,0,81.31586126837644,41.80000000000029,0.0,268
0,5,4,1,77.52823118885135,32.200000000000266,0.0,292
0,5,4,2,80.17323133784416,38.20000000000028,0.0,271
0,5,4,3,77.52823118885135,32.200000000000266,0.0,292
0,5,4,4,73.09071954186135,21.40000000000024,0.0,292
0,5,5,0,86.29208618779907,63.40000000000034,0.0,268
0,5,5,1,93.00669951507896,83.20000000000016,0.0,173
0,5,5,2,93.00669951507896,83.20000000000016,0.0,173
0,5,5,3,91.76779289540518,78.4000000000002,0.0,187
0,5,5,4,91.76779289540518,78.4000000000002,0.0,187
0,5,6,0,82.28155429649642,45.4000000000003,0.0,268
0,5,6,1,81.31586126837644,41.80000000000029,0.0,268
0,5,6,2,78.74546421651345,33.40000000000027,0.0,268
0,5,6,3,76.21552915854932,28.600000000000257,0.0,292
0,5,6,4,76.88873609209918,30.40000000000026,0.0,292
0,5,7,0,92.10181325335317,91.60000000000008,0.0,235
0,5,7,1,92.89269538587078,92.20000000000007,0.0,215
0,5,7,2,82.45576793610752,68.2000000000003,0.0,396
0,5,7,3,87.3231142097966,83.20000000000016,0.0,332
0,5,7,4,92.10181325335317,91.60000000000008,0.0,235
0,5,8,0,82.62582868154776,76.00000000000023,0.0,425
0,5,8,1,82.338290103221,74.20000000000024,0.0,425
0,5,8,2,82.53064169532479,75.40000000000023,0.0,425
0,5,8,3,82.14323509888267,73.00000000000026,0.0,425
0,5,8,4,82.24110563750519,73.60000000000025,0.0,425
0,5,9,0,92.23639036032785,74.20000000000024,0.0,152
0,5,9,1,41.73993120925368,4.600000000000234,0.0,867
0,5,9,2,37.36902430681963,2.200000000000234,0.0,867
0,5,9,3,93.20479238630907,79.6000000000002,0.0,150
0,5,9,4,28.938367077355537,0.40000000000023406,0.0,867
0,8,0,0,88.64093533150827,76.60000000000022,0.0,268
0,8,0,1,88.64093533150827,76.60000000000022,0.0,268
0,8,0,2,88.64093533150827,76.60000000000022,0.0,268
0,8,0,3,88.64093533150827,76.60000000000022,0.0,268
0,8,0,4,88.64093533150827,76.60000000000022,0.0,268
0,8,1,0,70.94842864759318,22.600000000000243,0.0,374
0,8,1,1,70.94842864759318,22.600000000000243,0.0,374
0,8,1,2,70.94842864759318,22.600000000000243,0.0,374
0,8,1,3,70.94842864759318,22.600000000000243,0.0,374
0,8,1,4,70.94842864759318,22.600000000000243,0.0,374
0,8,2,0,81.4493491145532,47.2000000000003,0.0,305
0,8,2,1,81.4493491145532,47.2000000000003,0.0,305
0,8,2,2,81.4493491145532,47.2000000000003,0.0,305
0,8,2,3,81.4493491145532,47.2000000000003,0.0,305
0,8,2,4,81.4493491145532,47.2000000000003,0.0,305
0,8,3,0,0.0,12.40000000000023,100.0,1000
0,8,3,1,0.0,12.40000000000023,100.0,1000
0,8,3,2,0.0,12.40000000000023,100.0,1000
0,8,3,3,0.0,12.40000000000023,100.0,1000
0,8,3,4,0.0,12.40000000000023,100.0,1000
0,8,4,0,0.0,0.0,30.0,711
0,8,4,1,0.0,0.0,30.0,711
0,8,4,2,0.0,0.0,30.0,711
0,8,4,3,0.0,0.0,30.0,711
0,8,4,4,0.0,0.0,30.0,711
0,8,5,0,0.0,0.0,80.0,449
0,8,5,1,0.0,0.0,80.0,449
0,8,5,2,0.0,0.0,80.0,449
